date,period,location,revenue,target_revenue,traffic,engagement_rate,conversion_rate,bookings,reservation_value,channel,performance_vs_target
2025-01-01,Janvier 2025,Paris,45000,50000,12500,4.2,2.8,125,360,Organic,90
2025-01-01,Janvier 2025,Paris,28000,30000,8200,3.1,2.1,65,430,Paid Ads,93
2025-01-01,Janvier 2025,Paris,15000,15000,3500,5.5,3.4,52,288,Direct,100
2025-01-01,Janvier 2025,Lyon,38000,42000,10200,3.8,2.5,95,400,Organic,90
2025-01-01,Janvier 2025,Lyon,22000,25000,7100,2.9,1.9,48,458,Paid Ads,88
2025-01-01,Janvier 2025,Lyon,12000,13000,2800,4.8,2.8,42,285,Direct,92
2025-01-01,Janvier 2025,Marseille,32000,40000,9800,3.5,2.2,72,444,Organic,80
2025-01-01,Janvier 2025,Marseille,18000,22000,5500,2.7,1.6,38,473,Paid Ads,81
2025-01-01,Janvier 2025,Marseille,9000,10000,2100,4.2,2.5,28,321,Direct,90
2025-01-15,Janvier 2025,Paris,46500,50000,13200,4.4,2.9,128,363,Organic,93
2025-01-15,Janvier 2025,Paris,29500,30000,8800,3.3,2.2,68,434,Paid Ads,98
2025-01-15,Janvier 2025,Paris,16000,15000,3800,5.8,3.6,54,296,Direct,106
2025-01-15,Janvier 2025,Lyon,39500,42000,10800,4.0,2.6,98,403,Organic,94
2025-01-15,Janvier 2025,Lyon,23500,25000,7600,3.1,2.0,50,470,Paid Ads,94
2025-01-15,Janvier 2025,Lyon,13000,13000,3000,5.0,2.9,43,302,Direct,100
2025-01-15,Janvier 2025,Marseille,34000,40000,10500,3.7,2.3,75,453,Organic,85
2025-01-15,Janvier 2025,Marseille,19500,22000,6000,2.9,1.7,40,487,Paid Ads,88
2025-01-15,Janvier 2025,Marseille,10000,10000,2300,4.4,2.6,30,333,Direct,100
2025-02-01,Février 2025,Paris,48000,52000,13500,4.5,3.0,135,355,Organic,92
2025-02-01,Février 2025,Paris,31000,32000,9200,3.4,2.3,72,430,Paid Ads,96
2025-02-01,Février 2025,Paris,17000,16000,4000,6.0,3.7,56,303,Direct,106
2025-02-01,Février 2025,Lyon,41000,44000,11200,4.1,2.7,102,401,Organic,93
2025-02-01,Février 2025,Lyon,24500,26000,8000,3.2,2.1,52,470,Paid Ads,94
2025-02-01,Février 2025,Lyon,14000,14000,3200,5.2,3.0,45,311,Direct,100
2025-02-01,Février 2025,Marseille,36000,42000,11000,3.8,2.4,78,461,Organic,85
2025-02-01,Février 2025,Marseille,20500,23000,6300,3.0,1.8,42,488,Paid Ads,89
2025-02-01,Février 2025,Marseille,11000,11000,2500,4.5,2.7,32,343,Direct,100
